question,answer
"Which operating systems run on Cisco enterprise routers and use a CLI that works much like the CLI on Cisco LAN switches? (Choose two answers.)
A. CatOS
B. IOS
C. Windows
D. IOS XE",BD
"Which action would you expect to be true of a router CLI interaction that is not true when configuring a LAN switch that performs only Layer 2 switching functions?
A. Moving from global to physical interface configuration mode
B. Configuring an IP address in physical interface configuration mode
C. Configuring a 10/100/1000 port’s settings related to speed and autonegotiation
D. Configuring a console password",B
"Which answers list a task that could be helpful in making a router interface G0/0 ready to route packets? (Choose two answers.)
A. Configuring the ip address address mask command in G0/0 configuration mode
B. Configuring the ip address address and ip mask mask commands in G0/0 configuration mode
C. Configuring the no shutdown command in G0/0 configuration mode
D. Setting the interface description in G0/0 configuration mode",AC
"The output of the show ip interface brief command on R1 lists interface status codes of “down” and “down” for interface GigabitEthernet 0/0. The interface connects to a LAN switch with a UTP straight-through cable. Which of the following could be true?
A. The shutdown command is currently configured for router interface G0/0.
B. The shutdown command is currently configured for the switch interface on the other end of the cable.
C. The router was never configured with an ip address command on the interface.
D. The router was configured with the no ip address command.",B
"Which of the following commands list the IP address but not the subnet mask of an interface?
A. show running-config
B. show protocols type number
C. show ip interface brief
D. show interfaces",C
"Which of the following is different on the Cisco switch CLI for a Layer 2 switch as compared with the Cisco router CLI?
A. The commands used to configure simple password checking for the console
B. The number of IP addresses configured
C. The configuration of the device’s hostname
D. The configuration of an interface description ",B
"Router R1 lists a route in its routing table. Which of the following answers list a fact from a route that the router uses when matching the packet’s destination address? (Choose two answers.)
A. Mask
B. Next-hop router
C. Subnet ID
D. Outgoing interface",AC
"PC1 sends an IP packet to PC2. To do so, PC1 sends the packet to Router R1, which routes it to Router R2, which routes it to Router R3, which routes it to the final destination (PC2). All links use Ethernet. How many routers de-encapsulate the IP packet from an Ethernet frame during its journey from PC1 to PC2?
A. 0
B. 1
C. 2
D. 3",D
"After configuring a working router interface with IP address/mask 10.1.1.100/26, which of the following routes would you expect to see in the output of the show ip route command? (Choose two answers.)
A. A connected route for subnet 10.1.1.64 255.255.255.192
B. A connected route for subnet 10.1.1.0 255.255.255.0
C. A local route for host 10.1.1.100 255.255.255.192
D. A local route for host 10.1.1.100 255.255.255.255
E. A local route for host 10.1.1.64 255.255.255.255",AD
"Which of the following pieces of information could be listed in a correct ip route command on a local router? (Choose two answers.)
A. The local router’s IP address on the link between the two routers
B. The next-hop router’s IP address on the link between the two routers
C. The next-hop router’s interface ID on the link between the two routers
D. The local router’s interface ID on the link between the two routers",BC
"Which of the following commands correctly configures a static route?
A. ip route 10.1.3.0 255.255.255.0 10.1.130.253
B. ip route 10.1.3.0 serial 0
C. ip route 10.1.3.0 /24 10.1.130.253
D. ip route 10.1.3.0 /24 serial 0",A
"A network engineer configures the ip route 10.1.1.0 255.255.255.0 s0/0/0 command on a router and then issues a show ip route command from enable mode. No routes for subnet 10.1.1.0/24 appear in the output. Which of the following could be true?
A. The ip route command has incorrect syntax and was rejected in config mode.
B. Interface s0/0/0 is down.
C. The router has no up/up interfaces in Class A network 10.0.0.0.
D. The ip route command is missing a next-hop router IP address. ",B
