"PROMPT","Keyphrase/KeyTopic","Answers","Options","Question"
"KPF","NOKP","['A']","['A. Single-mode fiber, multimode fiber, copper', 'B. Coaxial, twisted-pair, HDMI', 'C. Cat5, Cat6, Cat7', 'D. RJ45, RJ11, BNC']","What are the three types of physical interfaces and cabling discussed in Chapter 1?"
"KPF","NOKP","['B']","['A. By using the FTP protocol', 'B. Through the Transmission Control Protocol (TCP) providing error recovery', 'C. By implementing OSI standards', 'D. By relying on hardware error detection']","How does the TCP/IP networking model ensure reliable communication?"
"KPF","NOKP","['C']","['A. Application layer', 'B. Transport layer', 'C. Network layer', 'D. Data link layer']","Which layer of the TCP/IP model is responsible for addressing and routing?"
"KPF","NOKP","['B']","['A. It is the process of decoding messages at the destination', 'B. It involves adding headers (and sometimes trailers) to data as it moves through layers', 'C. It is a technique for ensuring encryption in transmissions', 'D. It refers to the method of packet fragmentation']","Which statement best describes encapsulation in networking?"
"KPF","NOKP","['B']","['A. HTTP and HTTPS', 'B. TCP and UDP', 'C. IP and ICMP', 'D. Ethernet and Wi-Fi']","Which of the following protocols operate primarily at the TCP/IP transport layer?"
"MCQP-1","TCP/IP Networking Model","['C']","['A. Application Layer', 'B. Transport Layer', 'C. Network Layer', 'D. Data-Link Layer']","Which layer of the TCP/IP networking model is primarily responsible for defining protocols that allow computers to communicate over a network?"
"MCQP-2","TCP/IP Networking Model","['C']","['A. OSI Networking Model', 'B. Proprietary Vendor Model', 'C. TCP/IP Networking Model', 'D. SNA Networking Model']","What is the most commonly used networking model in computer networks today?"
"MCQP-3","TCP/IP Networking Model","['B']","['Open Systems Interconnection (OSI) Model', 'TCP/IP Networking Model', 'Systems Network Architecture (SNA)', 'Department of Defense (DoD) Model']","Which networking model is recognized as the most pervasive model in use today, supported by practically every computer operating system?"
"MCQP-1","OSI Networking Model","['A']","['A. The OSI model has seven layers, whereas the TCP/IP model has five or four layers.', 'B. The TCP/IP model is an older model compared to the OSI model.', 'C. The TCP/IP model focuses only on application layer protocols.', 'D. The OSI model is widely used in practical applications today, unlike the TCP/IP model.']","What is one of the primary differences between the OSI Networking Model and the TCP/IP Networking Model?"
"MCQP-2","OSI Networking Model","['B']","['A. TCP/IP Model', 'B. OSI Networking Model', 'C. Systems Network Architecture (SNA)', 'D. Proprietary Networking Models']","Which network architecture model was developed by the International Organization for Standardization to standardize data networking protocols for global communication?"
"MCQP-3","OSI Networking Model","['C']","['ISO Model', 'TCP/IP Networking Model', 'OSI Networking Model', 'SNA Networking Model']","Which of the following is a conceptual model that allows for standardizing data networking protocols and ensuring communication among all computers?"
"MCQP-1","Encapsulation Process","['B']","['A. Network layer header, Application layer data, Transport layer header, Data-link layer header and trailer', 'B. Application layer data, Transport layer header, Network layer header, Data-link layer header and trailer', 'C. Data-link layer header and trailer, Application layer data, Transport layer header, Network layer header', 'D. Transport layer header, Data-link layer header and trailer, Application layer data, Network layer header']","What is the correct sequence of the Encapsulation Process in the TCP/IP model when a device sends data across a network?"
"MCQP-2","Encapsulation Process","['A', 'D']","['A. Encapsulation', 'B. Modulation', 'C. Demodulation', 'D. Encapsulation Process']","What is the process of adding headers (and sometimes trailers) around data called?"
