"PROMPT","Keyphrase/KeyTopic","Answers","Options","Question"
"KPF","NOKP","['B']","['A. Providing end-user application services like web browsing', 'B. Delivering data from the source host to the destination host across the entire network path', 'C. Detecting and correcting errors for application data', 'D. Managing signals and voltages for physical transmission']","Which task is performed by the Network layer of the TCP/IP model?"
"KPF","NOKP","['C']","['A. Layer 2', 'B. Layer 3', 'C. Layer 4', 'D. Layer 7']","Which OSI layer corresponds to the TCP/IP Transport layer?"
"KPF","NOKP","['C']","['A. Removing headers from a data unit as it moves through the layers', 'B. Forwarding packets based on their MAC addresses', 'C. Adding protocol headers (and possibly trailers) around data as it passes down the layers', 'D. Splitting data into multiple separate streams for redundancy']","What does the term 'encapsulation' refer to in TCP/IP networking?"
"KPF","NOKP","['C']","['A. They operate at the Data Link layer to forward frames', 'B. They are responsible for error recovery by sending acknowledgments', 'C. They forward IP packets based on the destination IP address', 'D. They add TCP headers to user data for reliability']","Which statement about IP routers in a TCP/IP network is correct?"
"KPF","NOKP","['D']","['A. It is used instead of TCP/IP on most modern networks', 'B. It has five layers that map directly to the TCP/IP model', 'C. It focuses only on physical and data-link standards', 'D. It defines seven layers and is often referenced for networking terminology']","Which of the following accurately describes the OSI model?"
"MCQP-1","TCP/IP Networking Model","['B']","['A. Application', 'B. Transport', 'C. Network', 'D. Data Link']","Which layer of the TCP/IP Networking Model is responsible for error recovery using acknowledgments and retransmissions?"
"MCQP-2","TCP/IP Networking Model","['B']","['A. Systems Network Architecture (SNA)', 'B. TCP/IP Networking Model', 'C. Open Systems Interconnection (OSI) Model', 'D. IBM Net Model']","Which networking model is described in the text as the most pervasive in use today?"
"MCQP-3","TCP/IP Networking Model","['C']","['A. Single-mode fiber', 'B. OSI Networking Model', 'C. TCP/IP Networking Model', 'D. Data encapsulation']","Which concept or model is described as a comprehensive set of documents defining different layers of standards and protocols that collectively define how computer networks should function?"
"MCQP-1","OSI Networking Model","['B']","['A. Transport layer', 'B. Network layer', 'C. Data Link layer', 'D. Session layer']","In the OSI Networking Model, which layer is primarily responsible for delivering data from the source to the final destination across multiple networks?"
"MCQP-2","OSI Networking Model","['C']","['A. Systems Network Architecture (SNA)', 'B. TCP/IP Networking Model', 'C. OSI Networking Model', 'D. IEEE Ethernet Model']","Which networking model was created by the International Organization for Standardization (ISO) in an effort to standardize data networking protocols on a global scale?"
"MCQP-3","OSI Networking Model","['C']","['A. Systems Network Architecture (SNA)', 'B. OSI Networking Model', 'C. TCP/IP', 'D. AppleTalk']","Which networking model became the most widely adopted for modern data communications by the late 1990s?"
